index_id,x_rel,y_rel
00,0.07540107,0.097860963
01,0.477540107,0.086096257
02,0.74331551,0.076470588
03,0.218716578,0.230481283
04,0.482887701,0.221925134
05,0.74171123,0.217647059
06,0.365240642,0.364171123
07,0.486096257,0.360962567
08,0.606951872,0.359893048
09,0.078609626,0.493582888
10,0.222994652,0.490374332
11,0.36631016,0.487165775
12,0.615508021,0.479679144
13,0.755614973,0.476470588
14,0.893582888,0.473262032
15,0.370588235,0.60802139
16,0.495721925,0.606951872
17,0.580213904,0.599465241
18,0.227272727,0.756684492
19,0.502139037,0.748128342
20,0.768449198,0.736363636
21,0.078609626,0.911764706
22,0.506417112,0.894652406
23,0.920320856,0.878609626